Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AdminTestCases,,,,2022-07-13 20:15:53,2022-07-13 20:16:12,19.132s,FAILED
,,,,,,,
Test Cases/PreReq/Pre-Req-Script-For-JobMonitoring-Ops,,,,2022-07-13 20:15:57,2022-07-13 20:16:12,15.029s,FAILED
Start listener action : BeforeTestCase,,,,2022-07-13 20:15:57,2022-07-13 20:16:11,13.339s,FAILED
extentTest = G_ExtentTest,,,,2022-07-13 20:16:12,2022-07-13 20:16:12,0.001s,PASSED
toLogin.ForLogin.Login(extentTest),,,,2022-07-13 20:16:12,2022-07-13 20:16:12,0.326s,FAILED
Start listener action : sampleAfterTestCase,,,,2022-07-13 20:16:12,2022-07-13 20:16:12,0.028s,PASSED
